"name","version","authors","licenses","license_links","approved","summary","description","homepage","install_path","package_manager","groups"
@nuxtjs/youch,3.0.2,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/poppinss/nuxt#readme,,Yarn,""
abbrev,1.1.0,"",ISC,http://en.wikipedia.org/wiki/ISC_license,Not approved,"","",Unknown,,Yarn,""
accepts,1.3.4,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",Unknown,,Yarn,""
acorn,3.3.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/ternjs/acorn,,Yarn,""
acorn,4.0.13,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/ternjs/acorn,,Yarn,""
acorn,5.1.2,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/ternjs/acorn,,Yarn,""
acorn-dynamic-import,2.0.2,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/kesne/acorn-dynamic-import,,Yarn,""
acorn-jsx,3.0.1,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/RReverser/acorn-jsx,,Yarn,""
ajv,4.11.8,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/epoberezkin/ajv,,Yarn,""
ajv,5.2.2,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/epoberezkin/ajv,,Yarn,""
ajv-keywords,1.5.1,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/epoberezkin/ajv-keywords#readme,,Yarn,""
ajv-keywords,2.1.0,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/epoberezkin/ajv-keywords#readme,,Yarn,""
align-text,0.1.4,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/jonschlinkert/align-text,,Yarn,""
alphanum-sort,1.0.2,"",MIT,http://opensource.org/licenses/mit-license,Not approved,"","",https://github.com/TrySound/alphanum-sort,,Yarn,""
